Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
0.00031622776601683794,0.45000000000000007,10.0,1608.2959560700615,11.045974542206718
0.0005623413251903491,0.45000000000000007,10.0,2859.999583928254,11.047004911257375
0.001,0.45000000000000007,10.0,5085.8783728195,11.047584132999669
1e-09,0.5,10.0,0.00457729053553755,0.045673887989203514
1.7782794100389228e-09,0.5,10.0,0.00813970151311246,nan
3.1622776601683795e-09,0.5,10.0,0.014474663604630553,0.14382921792154998
5.623413251903491e-09,0.5,10.0,0.025739996255354287,0.254555035319346
1e-08,0.5,10.0,0.0457729053553755,0.4488757174118637
1.7782794100389228e-08,0.5,10.0,0.0813970151311246,0.7864595695554473
3.162277660168379e-08,0.5,10.0,0.1447466360463055,1.3625370026390176
5.6234132519034905e-08,0.5,10.0,0.25739996255354286,2.315021470569194
1e-07,0.5,10.0,0.457729053553755,3.802422490415519
1.7782794100389227e-07,0.5,10.0,0.8139701513112458,5.884022337381846
3.162277660168379e-07,0.5,10.0,1.447466360463055,8.221302635434965
5.62341325190349e-07,0.5,10.0,2.5739996255354285,10.048373704406268
1e-06,0.5,10.0,4.57729053553755,11.080982315393712
1.7782794100389227e-06,0.5,10.0,8.13970151311246,11.604504203117203
3.162277660168379e-06,0.5,10.0,14.474663604630551,11.873418465607518
5.623413251903491e-06,0.5,10.0,25.73999625535429,12.01598897607061
9.999999999999999e-06,0.5,10.0,45.7729053553755,12.09339251902179
1.778279410038923e-05,0.5,10.0,81.3970151311246,12.136044055517555
3.1622776601683795e-05,0.5,10.0,144.74663604630553,12.159752457649606
5.623413251903491e-05,0.5,10.0,257.3999625535428,12.172997451541667
0.0001,0.5,10.0,457.729053553755,12.180418110245053
0.00017782794100389227,0.5,10.0,813.9701513112459,12.184582347996201
0.00031622776601683794,0.5,10.0,1447.4663604630553,12.186921319295758
0.0005623413251903491,0.5,10.0,2573.9996255354285,12.18823574958246
0.001,0.5,10.0,4577.29053553755,12.188974632977397
1e-09,0.55,10.0,0.004161173214125046,0.045676316079382294
1.7782794100389228e-09,0.55,10.0,0.0073997286482840536,nan
3.1622776601683795e-09,0.55,10.0,0.013158785095118683,0.14385357221229272
5.623413251903491e-09,0.55,10.0,0.023399996595776622,0.2546324145510661
1e-08,0.55,10.0,0.041611732141250454,0.4491224646260593
1.7782794100389228e-08,0.55,10.0,0.07399728648284054,0.7872514254657268
3.162277660168379e-08,0.55,10.0,0.13158785095118683,1.3651060905541752
5.6234132519034905e-08,0.55,10.0,0.2339999659577662,2.323504050882878
1e-07,0.55,10.0,0.4161173214125045,3.8310683247684567
1.7782794100389227e-07,0.55,10.0,0.7399728648284053,5.980908531011706
3.162277660168379e-07,0.55,10.0,1.3158785095118681,8.509964397146621
5.62341325190349e-07,0.55,10.0,2.339999659577662,10.643939501979485
1e-06,0.55,10.0,4.1611732141250455,11.921586688276173
1.7782794100389227e-06,0.55,10.0,7.399728648284054,12.580494313884552
3.162277660168379e-06,0.55,10.0,13.158785095118683,12.919018315378919
5.623413251903491e-06,0.55,10.0,23.399996595776624,13.098014489770947
9.999999999999999e-06,0.55,10.0,41.61173214125045,13.194976745823388
1.778279410038923e-05,0.55,10.0,73.99728648284054,13.248327777725303
3.1622776601683795e-05,0.55,10.0,131.58785095118682,13.277957602699427
5.623413251903491e-05,0.55,10.0,233.99996595776622,13.294502217747544
0.0001,0.55,10.0,416.11732141250457,13.303768815451889
0.00017782794100389227,0.55,10.0,739.9728648284054,13.308968071631268
0.00031622776601683794,0.55,10.0,1315.8785095118683,13.311888118338276
0.0005623413251903491,0.55,10.0,2339.9996595776624,13.313529008279051
0.001,0.55,10.0,4161.173214125045,13.314451377585389
1e-09,0.6,10.0,0.0038144087796146255,0.04567834373112654
1.7782794100389228e-09,0.6,10.0,0.006783084594260384,nan
3.1622776601683795e-09,0.6,10.0,0.012062219670525462,0.14387384266607373
5.623413251903491e-09,0.6,10.0,0.02144999687946191,0.25469675779175327
1e-08,0.6,10.0,0.03814408779614625,0.44932730222158945
1.7782794100389228e-08,0.6,10.0,0.06783084594260384,0.7879068849134631
3.162277660168379e-08,0.6,10.0,0.1206221967052546,1.3672221545580239
5.6234132519034905e-08,0.6,10.0,0.21449996879461905,2.3304348268003108
1e-07,0.6,10.0,0.38144087796146253,3.854211842933087
